,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,free_SO2_ratio,alcohol_surgar_ratio,sugar_acidity_ratio,fixed_acidity_ratio,wine_type_white
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,0,32.35294117647059,494.7368421052632,23.45679012345679,91.35802469135804,0
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,0,37.3134328358209,376.92307692307696,29.95391705069125,89.86175115207374,0
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,0,27.77777777777778,426.0869565217392,26.869158878504667,91.1214953271028,0
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,0,28.33333333333333,515.7894736842106,16.550522648083625,97.56097560975611,0
4,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,0,32.5,522.2222222222222,22.332506203473944,91.81141439205956,0
5,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,0,25.42372881355932,587.5,18.823529411764707,92.94117647058825,0
6,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,1,71.42857142857143,833.3333333333334,15.09433962264151,91.82389937106916,0
7,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,1,50.0,475.0,23.866348448687354,93.07875894988068,0
8,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,0,16.666666666666668,172.13114754098362,76.25,93.75,0
9,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,0,23.07692307692308,511.11111111111103,24.725274725274723,92.03296703296704,0
10,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,0,27.11864406779661,618.75,25.74416733708769,90.10458567980692,0
11,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,0,31.03448275862069,568.75,19.024970273483948,92.74673008323424,0
12,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,0,35.86206896551724,242.1052631578947,39.91596638655462,93.4873949579832,0
13,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,0,34.45945945945946,235.89743589743588,40.96638655462185,93.4873949579832,0
