,wine_type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,free_SO2_ratio,alcohol_surgar_ratio,sugar_acidity_ratio,fixed_acidity_ratio
0,red,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,32.35294117647059,494.7368421052632,23.45679012345679,91.35802469135803
2,red,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,27.77777777777778,426.08695652173924,26.869158878504667,91.12149532710279
4,red,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,32.5,522.2222222222222,22.332506203473944,91.81141439205955
5,red,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,25.42372881355932,587.5,18.823529411764707,92.94117647058823
7,red,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,50.0,475.0,23.866348448687354,93.07875894988068
8,red,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,16.666666666666668,172.13114754098362,76.25,93.75
9,red,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,23.07692307692308,511.11111111111103,24.725274725274723,92.03296703296704
10,red,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,27.11864406779661,618.75,25.744167337087692,90.10458567980692
14,red,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,33.980582524271846,583.3333333333334,20.50113895216401,96.81093394077449
16,red,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,20.689655172413797,204.54545454545453,55.06883604505633,92.61576971214018
18,red,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,48.333333333333336,522.2222222222222,19.736842105263154,97.5877192982456
19,red,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,32.394366197183096,421.73913043478257,28.785982478097623,95.11889862327911
20,red,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,27.027027027027028,593.75,19.20768307322929,94.83793517406963
